TARGET_FLAG,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,EDUCATION,TRAVTIME,BLUEBOOK,TIF,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,M,Clerical,Doctor,Home Maker,Lawyer,Manager,Professional,Student,z_Blue Collar,Commercial,Minivan,Panel Truck,Pickup,Sports Car,Van,z_SUV,Highly Urban/ Urban
0,0,60.0,0,11.0,11.117643333918332,0,1.0,0,3,14,9.563107691083898,11,1,8.403128235128264,2,0,3,18.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,43.0,0,11.0,11.4235367188221,0,12.457811428204462,0,0,22,9.611797458686809,1,1,1.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,35.0,1,10.0,9.682778535337379,0,11.729575982087773,1,0,5,8.296546520300614,4,0,10.563336447694558,2,0,3,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,0,51.0,0,14.0,,0,12.632160306141865,1,0,32,9.644716823578767,7,1,1.0,0,0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,50.0,0,,11.652565660804143,0,12.404616079976151,1,3,36,9.798127036878302,1,0,9.863550582932428,2,1,3,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,0,34.0,1,12.0,11.738474121698282,1,1.0,0,1,46,9.765948138514066,1,0,1.0,0,0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0,54.0,0,,9.839215662515988,0,,1,0,33,9.080231686629162,1,0,1.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,1,37.0,2,,11.589525329778928,0,12.717937728870828,1,1,44,9.739202358228273,1,1,7.772331575169614,1,1,10,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,0,34.0,0,10.0,11.050540738037729,0,1.0,0,1,34,9.323669057283185,1,0,1.0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,0,50.0,0,7.0,11.580135414662958,0,1.0,0,1,48,9.826066405567543,7,0,1.0,0,0,1,17.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0,53.0,0,14.0,11.25285855955142,0,1.0,0,2,15,9.814656338829513,1,0,1.0,0,0,0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0,43.0,0,5.0,10.87126955919842,0,12.254719942351695,1,2,36,10.017708696626151,7,0,1.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,55.0,0,11.0,10.988034722879403,0,12.102000188856978,1,1,25,9.775654181026242,7,1,8.522777569710138,2,1,3,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,0,53.0,0,11.0,11.781386490974898,0,1.0,0,3,64,10.252029513244672,6,1,1.0,0,0,3,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0,45.0,0,0.0,1.0,0,11.57926548742942,1,0,48,8.699514748210191,1,0,1.0,0,0,3,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,0,39.0,3,12.0,10.856765736460563,1,12.105981555365123,0,1,43,9.267665438595452,6,0,1.0,0,0,0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,42.0,0,11.0,11.001182754141754,0,12.166328195250545,1,2,42,9.560292770154089,6,0,1.0,0,0,0,16.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,34.0,3,13.0,10.434674471043987,0,11.428184236515138,1,2,27,9.02401079378469,7,0,1.0,0,0,0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,0,31.0,2,12.0,9.847075918610166,0,11.44888815154042,1,0,48,9.760194382709651,4,0,1.0,0,0,0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,28.0,1,13.0,10.693693383434516,0,12.047065190641572,1,0,29,9.072227069846548,6,0,9.097731427593528,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,0,43.0,0,13.0,10.524440313547586,0,,1,0,52,10.18716160359037,1,1,1.0,0,0,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,48.0,0,14.0,11.474953571716675,0,12.552862896461528,1,2,36,9.31739944426959,6,0,9.017968479328726,1,0,5,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,0,47.0,0,11.0,10.742486788680049,0,1.0,0,0,29,9.88837391472608,10,0,1.0,0,0,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2,44.0,2,0.0,1.0,0,11.318660873206396,1,0,8,8.68270762989381,6,0,8.11312710422178,3,0,0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,0,33.0,1,13.0,11.284844745876201,0,12.32812212252412,1,1,27,9.730918287184851,9,0,1.0,0,0,2,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,32.0,1,9.0,10.350574335335113,0,11.679794917205262,1,0,26,9.21333588095598,1,0,1.0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,1,44.0,2,17.0,10.725203833890781,0,12.298551548322438,1,1,16,10.002880296414164,17,0,1.0,0,0,0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,35.0,0,8.0,11.187098367272093,0,1.0,0,1,26,9.410829232725586,6,0,1.0,0,0,3,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,0,40.0,2,0.0,,0,11.500620063113073,1,2,15,9.556055475678573,6,0,10.54867797155018,2,1,4,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,49.0,0,5.0,10.804542811767506,0,12.004225703005044,1,1,30,9.672815734801127,1,0,1.0,0,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,52.0,0,8.0,10.84501708927391,0,12.347311757222899,1,1,37,7.313220387090301,4,0,1.0,0,0,1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,0,41.0,0,7.0,11.438654402594942,0,12.564142116663708,0,2,12,10.15851729271266,6,0,7.266128779556451,2,0,5,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,39.0,0,10.0,10.465414952351203,0,12.220167839902718,1,1,38,9.719564714375199,4,1,1.0,0,0,0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,0,56.0,0,0.0,1.0,0,11.063931577302242,1,3,65,9.489486113405677,1,0,1.0,0,0,0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,49.0,0,12.0,11.653069942864997,0,12.65069436217286,0,3,18,9.792555991828847,1,0,1.0,0,0,0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,38.0,0,11.0,10.538846709328679,0,11.840955019378983,1,0,47,9.399306471488806,1,0,1.0,0,0,2,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,43.0,2,17.0,11.886920545608906,0,12.945112940718177,1,2,38,10.290449189079732,6,0,1.0,0,0,0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,0,63.0,0,15.0,11.70682968300725,0,12.746680347580632,1,3,10,9.697078200213083,1,0,1.0,0,0,0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,0,52.0,0,0.0,1.0,0,11.384239457342183,0,0,48,9.135616825780247,1,0,1.0,0,0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,35.0,0,7.0,9.582455500402792,0,1.0,1,1,22,8.771835409789817,1,0,1.0,0,0,0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0,43.0,0,13.0,11.229739934570338,0,12.508230683772409,1,1,40,10.046721720622037,1,0,1.0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0,41.0,0,10.0,10.39739079710617,0,1.0,0,0,44,9.909469624213676,4,0,1.0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
